Date,Rate
2024-07-02	1.8500
2024-07-01	1.9500
2024-06-28	2.3000
2024-06-27	2.3500
2024-06-26	2.3000
2024-06-25	2.3000
2024-06-24	2.3500
2024-06-21	2.0300
2024-06-20	1.9000
2024-06-19	1.9100
2024-06-18	1.8900
2024-06-17	1.8500
2024-06-14	1.8300
2024-06-13	1.8300
2024-06-12	1.8300
2024-06-11	1.8300
2024-06-07	1.8500
2024-06-06	1.8400
2024-06-05	1.8400
2024-06-04	1.8300
2024-06-03	1.8400
2024-05-31	1.8800
2024-05-30	1.9500
2024-05-29	1.9800
2024-05-28	1.9500
2024-05-27	1.9500
2024-05-24	1.8200
2024-05-23	1.8300
2024-05-22	1.8500
2024-05-21	1.8500
2024-05-20	1.8100
2024-05-17	1.8000
2024-05-16	1.8200
2024-05-15	1.8200
2024-05-14	1.8500
2024-05-13	1.8800
2024-05-11	1.8500
2024-05-10	1.8700
2024-05-09	1.9000
2024-05-08	1.9000
2024-05-07	1.9000
2024-05-06	1.9500
2024-04-30	2.1000
2024-04-29	2.0800
2024-04-28	1.9800
2024-04-26	1.9500
2024-04-25	1.9800
2024-04-24	1.9000
2024-04-23	1.9000
2024-04-22	1.9000
2024-04-19	1.9000
2024-04-18	1.9000
2024-04-17	1.9500
2024-04-16	1.9000
2024-04-15	1.9000
2024-04-12	1.9000
2024-04-11	1.9200
2024-04-10	1.9000
2024-04-09	1.9500
2024-04-08	2.0000
2024-04-07	1.8500
2024-04-03	2.0000
2024-04-02	2.1000
2024-04-01	2.0500
2024-03-29	2.3000
2024-03-28	2.3500
2024-03-27	2.4500
2024-03-26	2.4000
2024-03-25	2.4000
2024-03-22	2.0500
2024-03-21	2.0000
2024-03-20	2.0000
2024-03-19	2.0000
2024-03-18	2.0000
2024-03-15	2.0000
2024-03-14	2.0000
2024-03-13	2.0000
2024-03-12	2.0000
2024-03-11	2.0000
2024-03-08	2.0000
2024-03-07	2.0000
2024-03-06	2.0500
2024-03-05	2.0400
2024-03-04	2.0000
2024-03-01	2.0000
2024-02-29	2.0500
2024-02-28	2.1000
2024-02-27	2.1500
2024-02-26	2.1500
2024-02-23	2.2000
2024-02-22	2.0000
2024-02-21	2.0000
2024-02-20	1.9500
2024-02-19	2.0500
2024-02-18	1.8100
2024-02-09	1.8500
2024-02-08	1.8000
2024-02-07	1.9500
2024-02-06	1.9500
2024-02-05	1.9310
2024-02-04	1.9544
2024-02-02	2.2100
2024-02-01	1.9500
2024-01-31	2.3500
2024-01-30	2.3500
2024-01-29	2.5000
2024-01-26	2.4000
2024-01-25	2.3500
2024-01-24	2.1200
2024-01-23	2.1500
2024-01-22	2.1000
2024-01-19	2.1500
2024-01-18	2.2000
2024-01-17	2.3000
2024-01-16	2.2500
2024-01-15	2.2500
2024-01-12	2.2000
2024-01-11	2.2000
2024-01-10	2.2000
2024-01-09	2.2900
2024-01-08	2.2000
2024-01-05	2.1500
2024-01-04	2.2500
2024-01-03	2.1500
2024-01-02	2.1000

